Date,Open,High,Low,Close,Volume
8/11/2021,81.2,81.77,81.2,81.73,"453,656"
8/12/2021,81.63,81.9,81.25,81.54,"535,440"
8/13/2021,81.3,81.5,80.43,80.58,"390,198"
8/16/2021,80.67,81.71,80.35,81.47,"586,421"
8/17/2021,81.26,81.89,80.62,81.67,"874,900"
8/18/2021,81.37,81.74,79.89,79.94,"878,882"
8/19/2021,79.63,81.33,79.55,81.31,"1,178,263"
8/20/2021,81.43,82.26,81.15,82.25,"820,604"
8/23/2021,82.27,82.35,81,81.31,"719,346"
8/24/2021,81.25,81.48,80.76,81.06,"935,870"
8/25/2021,81.12,81.67,80.36,81.39,"735,780"
8/26/2021,81.26,81.46,80.69,81.11,"531,708"
8/27/2021,81.04,81.91,80.81,81.68,"527,952"
8/30/2021,81.74,82.01,81.6,81.76,"471,557"
8/31/2021,81.7,82.35,81.32,81.91,"875,837"
9/1/2021,82.24,83.03,81.71,82.48,"624,158"
9/2/2021,82.62,83.89,82.5,83.63,"468,469"
9/3/2021,83.73,83.91,83.08,83.12,"471,885"
9/7/2021,83.2,83.21,81.78,81.9,"935,163"
9/8/2021,81.9,82.98,81.77,82.75,"885,919"
9/9/2021,82.72,83.04,82.07,82.35,"664,908"
9/10/2021,82.51,82.7,81.46,81.49,"616,653"
9/13/2021,81.71,82.99,81.34,82.24,"930,557"
9/14/2021,82.53,82.53,79.84,79.97,"725,049"
9/15/2021,79.86,81.08,79.43,80.54,"928,763"
9/16/2021,81.16,81.52,80.01,80.12,"490,433"
9/17/2021,79.85,80.61,79.81,79.93,"1,739,128"
9/20/2021,79.13,79.92,79,79.83,"883,668"
9/21/2021,80.21,80.4,77.79,78.07,"1,098,752"
9/22/2021,78.4,79.06,78.01,78.38,"600,460"
9/23/2021,78.56,79.09,78.35,78.43,"676,897"
9/24/2021,78.6,79.45,78.55,79.14,"544,978"
9/27/2021,79.45,80.06,79.17,79.47,"499,965"
9/28/2021,79.07,79.32,78.42,78.48,"731,116"
9/29/2021,78.61,79.96,78.53,79.45,"635,800"
9/30/2021,80.22,80.48,79.07,79.35,"854,866"
10/1/2021,79.7,81.03,79.44,80.81,"822,353"
10/4/2021,80.8,82,80.76,81.25,"1,132,643"
10/5/2021,81.21,81.64,78.45,79.84,"1,871,147"
10/6/2021,79.84,80.69,79.58,80.28,"1,751,205"
10/7/2021,80.61,81.85,80.44,81,"1,037,551"
10/8/2021,81.11,81.38,80.13,80.82,"643,565"
10/11/2021,80.63,81.14,80.26,80.32,"501,814"
10/12/2021,80.28,80.76,79.98,80.19,"585,638"
10/13/2021,80.42,80.96,79.42,80.31,"698,504"
10/14/2021,80.65,80.93,79.87,80.66,"1,028,751"
10/15/2021,80.71,81,80.16,80.97,"1,018,936"
10/18/2021,80.85,81,79.83,80.84,"650,585"
10/19/2021,81.13,81.15,80.15,80.97,"596,541"
10/20/2021,81.13,81.88,80.86,81.15,"681,092"
10/21/2021,81.58,83.27,81.12,83.11,"1,074,392"
10/22/2021,83.33,84.15,82.95,82.95,"706,874"
10/25/2021,82.87,83.75,82.57,83.66,"797,278"
10/26/2021,83.81,83.98,82.6,82.64,"445,149"
10/27/2021,82.66,82.66,79.68,79.69,"812,825"
10/28/2021,79.78,80.56,79.1,80.56,"872,929"
10/29/2021,81.59,87.01,81.4,86.86,"1,803,777"
11/1/2021,86.69,88.13,86.26,87.6,"1,103,365"
11/2/2021,87.65,88.41,86.92,87.78,"1,188,815"
11/3/2021,87.7,88,85.88,86.74,"851,622"
11/4/2021,86.98,88.08,86.61,87.42,"517,264"
11/5/2021,87.54,88.55,86.22,86.8,"648,849"
11/8/2021,87.01,87.81,86.63,87.73,"464,749"
11/9/2021,87.61,88.27,87.14,87.82,"874,837"
11/10/2021,87.56,88.56,87.3,88.26,"747,665"
11/11/2021,88.19,88.88,87.77,88.75,"635,446"
11/12/2021,88.75,90.59,88.38,89.85,"912,890"
11/15/2021,89.89,90.09,88.9,89.03,"676,911"
11/16/2021,88.65,89.6,88.5,88.61,"488,317"
11/17/2021,88.1,89.4,87.7,88.82,"1,238,121"
11/18/2021,89.29,89.31,86.81,86.82,"537,340"
11/19/2021,87.1,87.89,86.45,87.34,"848,973"
11/22/2021,87.44,89.23,86.98,88.47,"434,296"
11/23/2021,88.3,88.73,87.86,87.97,"645,502"
11/24/2021,87.97,88.64,86.81,86.99,"648,701"
11/26/2021,86.84,86.84,85.12,85.2,"746,197"
11/29/2021,85.57,86.66,85.33,86.08,"789,891"
11/30/2021,85.5,85.5,83.84,83.94,"1,244,682"
12/1/2021,84.94,86.45,83.91,83.91,"720,066"
12/2/2021,84.12,87.08,84.12,86.41,"940,123"
12/3/2021,86.66,87.33,85.56,85.99,"748,808"
12/6/2021,87.06,88.17,86.15,86.48,"542,175"
12/7/2021,86.64,87.12,85.89,86.24,"525,135"
12/8/2021,85.88,86.23,84.86,85.49,"501,907"
12/9/2021,85.42,85.67,83.14,83.54,"751,276"
12/10/2021,83.67,83.92,82.9,83.43,"711,232"
12/13/2021,83.58,85.18,83.23,84.74,"789,268"
12/14/2021,84.52,85.12,84.09,84.13,"947,903"
12/15/2021,83.9,84.37,82.37,83.04,"816,110"
12/16/2021,83.01,83.64,82.21,82.75,"728,711"
12/17/2021,82.17,82.94,81.05,81.94,"1,134,264"
12/20/2021,81.22,81.62,79.84,81.19,"749,250"
12/21/2021,81.61,83.12,81.24,82.28,"834,206"
12/22/2021,82.22,83.39,81.89,82.39,"418,432"
12/23/2021,82.59,83.28,82.14,83,"270,968"
12/27/2021,83.27,84.13,82.84,84,"240,802"
12/28/2021,83.89,84.94,83.83,84.68,"345,405"
12/29/2021,85.01,85.59,84.76,85.17,"345,871"
12/30/2021,85.61,85.87,85,85,"325,111"
12/31/2021,84.85,85.25,84.53,84.79,"338,425"
1/3/2022,84.89,88.32,84.89,88.2,"1,023,369"
1/4/2022,88.79,91,88.53,90.28,"1,179,554"
1/5/2022,89.94,90.81,88.48,88.71,"546,085"
1/6/2022,88.64,88.98,86.79,87,"523,623"
1/7/2022,87.35,88.18,86.89,87.41,"536,474"
1/10/2022,87.35,87.68,85.98,86.52,"1,047,524"
1/11/2022,86.99,86.99,85.1,86.39,"1,069,964"
1/12/2022,85.99,86.46,84.97,85.73,"649,711"
1/13/2022,86.09,86.76,85.9,86.27,"916,698"
1/14/2022,86.17,89.21,85.7,88.95,"734,873"
1/18/2022,88.3,88.3,86.25,88.04,"845,400"
1/19/2022,87.76,88.33,86.78,87.05,"982,026"
1/20/2022,87.41,87.84,85.55,85.76,"399,035"
1/21/2022,85.43,86.88,85.25,85.37,"792,279"
1/24/2022,85.91,86.91,83.92,86.69,"1,453,601"
1/25/2022,85.55,86.72,82.85,85.41,"1,344,142"
1/26/2022,86.36,86.99,83.53,84.21,"757,050"
1/27/2022,83.95,84.57,81.43,82.04,"1,357,212"
1/28/2022,75.11,77.89,73.32,75.25,"3,330,654"
1/31/2022,73.84,76.87,73.84,76.73,"1,711,376"
2/1/2022,76.94,77.59,75.57,76.66,"1,637,200"
2/2/2022,76.45,78.64,76.25,78.39,"1,531,645"
2/3/2022,77.42,77.95,76.57,76.57,"1,027,145"
2/4/2022,76.45,77.52,75.8,76.65,"754,238"
2/7/2022,76.5,76.69,75.19,75.53,"1,523,899"
2/8/2022,75.38,75.83,74.82,74.95,"1,653,350"
2/9/2022,75.4,75.95,74.93,75.55,"1,018,956"
2/10/2022,74.51,75.55,74.38,74.84,"1,183,891"
2/11/2022,74.79,75.13,73.61,74.66,"1,459,652"
2/14/2022,74.98,74.98,73.57,74.33,"827,241"
2/15/2022,74.48,74.73,73.53,73.71,"1,110,232"
2/16/2022,73.51,74.22,72.64,73.97,"2,394,066"
2/17/2022,73.76,74.39,72.64,73.87,"1,125,041"
2/18/2022,74.05,74.69,72.89,73.03,"936,878"
2/22/2022,72.89,73.03,71.1,71.38,"1,351,188"
2/23/2022,71.36,72.61,70.48,70.48,"1,082,491"
2/24/2022,69.68,75.47,69.68,75.14,"1,418,520"
2/25/2022,75.61,77.16,75.5,76.39,"1,448,308"
2/28/2022,76.73,80.88,76.65,80.69,"1,714,454"
3/1/2022,80.97,83.31,80.83,82.48,"1,988,594"
3/2/2022,82.35,83.42,81.16,81.61,"1,472,853"
3/3/2022,82.02,82.75,81.2,82.64,"1,211,362"
3/4/2022,82.7,86.93,82.7,86.33,"1,850,769"
3/7/2022,86.4,89.58,85.42,86.94,"2,448,828"
3/8/2022,85.74,87.37,83.16,83.37,"1,481,266"
3/9/2022,82.23,83.87,81.7,83.5,"1,043,998"
3/10/2022,83.62,84.39,82.74,83.82,"880,662"
3/11/2022,84.73,85.24,83.11,83.32,"915,311"
3/14/2022,83.56,83.87,82.64,83.49,"638,684"
3/15/2022,83.51,85.14,83.11,84.95,"688,705"
3/16/2022,84.78,85.56,82.08,83.84,"871,320"
3/17/2022,84.02,85.75,83.76,85.3,"707,381"
3/18/2022,86.16,87.17,85.48,86.68,"2,367,943"
3/21/2022,86.56,88.31,85.33,85.45,"1,055,158"
3/22/2022,85.87,86.04,84.91,85.63,"844,776"
3/23/2022,85.77,86.53,85.21,85.91,"676,113"
3/24/2022,85.73,87.67,85.62,87.14,"605,114"
3/25/2022,87.7,88.88,87.4,87.94,"743,916"
3/28/2022,87.87,90.07,87.78,88.68,"1,059,073"
3/29/2022,89.46,89.58,86.42,86.69,"2,008,191"
3/30/2022,86.82,89.46,86.52,89.41,"916,251"
3/31/2022,89.01,89.76,87.8,87.84,"1,003,241"
4/1/2022,87.79,89.85,87.63,89.31,"949,761"
4/4/2022,89.43,89.85,88.01,88.26,"1,164,001"
4/5/2022,88.34,89.97,87.72,87.79,"975,447"
4/6/2022,87.61,88.92,87.5,88.51,"614,532"
4/7/2022,88.3,90,88.21,89.36,"618,058"
4/8/2022,89.36,90.46,88.64,88.85,"586,726"
4/11/2022,88.95,89.88,88.1,88.4,"572,073"
4/12/2022,88.45,88.78,87.45,87.57,"699,024"
4/13/2022,89.3,89.68,87.54,88.07,"1,160,293"
4/14/2022,88.57,89,87.58,87.78,"878,151"
4/18/2022,87.7,87.95,86.78,87.01,"624,788"
4/19/2022,87.02,87.9,86.74,87.38,"1,052,298"
4/20/2022,88,89.86,87.87,89.85,"992,977"
4/21/2022,90,91.46,89.76,89.9,"1,027,531"
4/22/2022,89.43,90.14,87.85,88.02,"656,227"
4/25/2022,87.28,87.51,85.78,87.37,"816,491"
4/26/2022,87.3,87.82,85.67,85.72,"663,283"
4/27/2022,85.47,86.61,84.48,84.81,"972,884"
4/28/2022,85.64,85.64,83.42,83.46,"1,061,284"
4/29/2022,83.28,83.77,81.28,81.63,"1,236,409"
5/2/2022,81.47,83.47,81.47,82.45,"1,049,984"
5/3/2022,82.37,83.94,82.15,83.24,"956,433"
5/4/2022,83.59,86.97,83.43,86.67,"1,002,076"
5/5/2022,86.14,86.43,84.17,85.42,"1,137,511"
5/6/2022,84.75,85.75,83.75,84.34,"695,110"
5/9/2022,83.68,83.74,80.76,81.4,"632,332"
5/10/2022,82.06,82.59,80,81.68,"1,011,712"
5/11/2022,81.29,82.32,79.81,79.93,"639,981"
5/12/2022,80.18,80.67,78.95,79.62,"1,435,294"
5/13/2022,80.05,80.8,79.77,80.53,"871,222"
5/16/2022,81.21,82.77,80.67,82.21,"1,287,024"
5/17/2022,82.71,83.47,82.03,83.38,"901,931"
5/18/2022,82.79,83.17,79.09,79.72,"1,574,663"
5/19/2022,78.78,82.38,78.67,80.84,"1,460,795"
5/20/2022,80.68,81.25,76.6,78.84,"1,845,075"
5/23/2022,78.75,81.21,78.05,81.08,"1,201,202"
5/24/2022,80.57,84.98,80.57,84.86,"1,595,640"
5/25/2022,85.03,85.93,83.57,84.63,"1,177,847"
5/26/2022,85.33,87.85,85.33,86.45,"1,471,041"
5/27/2022,86.76,87.36,86.11,86.86,"1,005,718"
5/31/2022,86.4,86.4,84.96,85.86,"1,256,744"
6/1/2022,86.08,86.25,84.92,85.28,"1,029,308"
6/2/2022,85.52,87.71,84.82,87.47,"1,661,287"
6/3/2022,87.5,87.5,86.33,87.21,"1,015,119"
6/6/2022,87,88.49,87,88.03,"610,297"
6/7/2022,85.43,88.91,85.23,88.79,"956,192"
6/8/2022,88.31,88.31,86.63,86.93,"686,459"
6/9/2022,86.82,87.35,85.93,86.14,"595,599"
6/10/2022,85.67,85.93,84.73,84.91,"1,049,914"
6/13/2022,82.99,84.22,82.79,83.3,"1,222,537"
6/14/2022,82.72,83.39,81.27,82.02,"987,302"
6/15/2022,82.69,83.92,82.24,83.19,"722,844"
6/16/2022,82.18,82.32,80.16,80.68,"889,348"
6/17/2022,81.18,81.47,79.85,81.13,"2,516,877"
6/21/2022,82.67,84.37,81.76,84.26,"1,070,115"
6/22/2022,84.18,85.63,83.72,84.66,"955,661"
6/23/2022,84.96,85.4,83.59,84.98,"697,921"
6/24/2022,85.86,89.64,85.54,89.54,"1,262,902"
6/27/2022,89.28,89.8,88.07,88.71,"800,769"
6/28/2022,88.63,89.37,87.29,87.58,"809,389"
6/29/2022,87.86,88.89,87.04,88.53,"700,349"
6/30/2022,88.24,90.67,88.04,90.36,"1,550,974"
7/1/2022,90.36,93.45,89.51,92.84,"1,386,748"
