Date,Open,High,Low,Close,Volume
12/31/2020,144.2,144.27,142.85,144.15,"5,938,018"
1/4/2021,144.3,146.89,144.28,146.53,"10,727,414"
1/5/2021,146.6,147.07,144.49,145.75,"8,832,653"
1/6/2021,145.09,148.1,145.01,146.66,"7,306,302"
1/7/2021,147.62,147.76,146.04,146.65,"6,845,971"
1/8/2021,146.88,147,145.81,146.63,"8,159,400"
1/11/2021,146,147.99,146,147.29,"8,782,414"
1/12/2021,149,149.93,148.32,148.97,"7,791,143"
1/13/2021,148.75,149.07,147.43,147.45,"5,356,541"
1/14/2021,147.82,148,146.04,146.97,"7,672,366"
1/15/2021,145.14,145.9,143.67,144.64,"11,973,493"
1/19/2021,144.64,145.07,142.67,143.39,"8,041,153"
1/20/2021,143.59,145.66,142.89,145.51,"7,925,237"
1/21/2021,145.36,145.73,144.21,144.85,"4,783,285"
1/22/2021,145.6,147.34,145.12,146.33,"6,406,452"
1/25/2021,145.36,146.25,144.27,146.2,"6,343,721"
1/26/2021,145.63,147.81,145.47,147.51,"5,010,495"
1/27/2021,146.96,147.86,143.55,143.84,"9,970,114"
1/28/2021,144.46,146.26,143.63,143.75,"7,433,874"
1/29/2021,143.18,143.75,140.35,140.49,"10,836,372"
2/1/2021,140.91,141.49,139.19,139.27,"8,648,363"
2/2/2021,139.76,142.15,139.44,140.77,"9,000,788"
2/3/2021,140.66,142.05,140.63,141.2,"4,988,932"
2/4/2021,141.79,143.18,141.26,142.53,"5,782,089"
2/5/2021,143.46,144.85,142.53,144.36,"6,817,249"
2/8/2021,144.81,145.58,144.46,145.03,"5,275,117"
2/9/2021,144.58,146.32,144.58,145.83,"5,302,336"
2/10/2021,145.83,145.9,143.54,144.13,"6,192,319"
2/11/2021,144.14,144.95,143.71,144.02,"4,263,820"
2/12/2021,144.16,144.61,143.67,144.47,"4,474,531"
2/16/2021,145.94,146.39,144.93,145.66,"9,297,029"
2/17/2021,144.65,147.5,144.5,147.2,"8,675,565"
2/18/2021,139,140.7,137.5,137.66,"32,309,133"
2/19/2021,137.8,139.42,137.67,138.34,"12,201,992"
2/22/2021,137.74,138.34,136.25,137.69,"10,702,210"
2/23/2021,137.11,137.39,135.06,135.47,"10,433,397"
2/24/2021,135.87,136.16,133.05,133.21,"15,521,905"
2/25/2021,133.1,134.01,131.48,131.95,"11,108,232"
2/26/2021,131.48,131.81,129.86,129.92,"14,156,930"
3/1/2021,131.58,132.57,131.13,131.37,"11,544,848"
3/2/2021,131.51,132.75,130.01,130.11,"9,743,566"
3/3/2021,129.5,129.93,127.55,127.59,"13,945,761"
3/4/2021,127.86,129.58,126.28,127.53,"15,115,971"
3/5/2021,126.83,129.75,126.75,129.12,"11,357,863"
3/8/2021,129.33,129.84,127.81,127.88,"13,662,797"
3/9/2021,128.8,129.88,128.32,128.89,"10,662,883"
3/10/2021,128.86,133.05,128.47,132.18,"14,976,448"
3/11/2021,133.36,133.49,131.53,132.13,"11,829,888"
3/12/2021,132.52,134.52,132.08,134.12,"9,479,187"
3/15/2021,134.74,134.75,132.82,133.43,"8,366,025"
3/16/2021,132.82,134.28,132.82,133.39,"6,626,953"
3/17/2021,132.5,133.14,131.98,132.28,"8,052,060"
3/18/2021,131.16,131.95,129.93,130.01,"9,938,471"
3/19/2021,130.13,132.5,129.9,131.74,"19,234,521"
3/22/2021,131,132.45,130.99,132.37,"8,217,950"
3/23/2021,131.71,134.3,131.63,133.94,"9,718,262"
3/24/2021,134.43,134.43,133.05,133.11,"7,849,144"
3/25/2021,133.26,134.53,132.87,134.01,"9,375,334"
3/26/2021,134,135.2,133.42,135.13,"9,551,168"
3/29/2021,135,137.01,134.6,136.67,"10,048,837"
3/30/2021,136.33,137.59,135.47,135.74,"9,076,726"
3/31/2021,135.55,136.86,134.96,135.83,"8,182,012"
4/1/2021,135.94,136.89,135.33,135.62,"8,531,718"
4/5/2021,136.72,140.16,136.2,139.43,"13,347,722"
4/6/2021,139.11,140.95,138.52,140.1,"10,348,230"
4/7/2021,140.3,140.75,139.65,139.8,"6,787,192"
4/8/2021,140.45,141.12,139.66,139.71,"6,365,153"
4/9/2021,139.63,140.09,138.71,139.78,"6,892,161"
4/12/2021,140.07,140.38,139.34,139.8,"6,241,041"
4/13/2021,139.8,140,138.87,139.37,"5,799,331"
4/14/2021,139.12,139.46,138.42,139.32,"7,308,164"
4/15/2021,139.4,140.47,139.2,140.16,"7,236,777"
